City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
314,Tambura,SS,5.6,27.47,71.67,91,100,3.24,overcast clouds
315,Laguna,US,38.42,-121.42,77.0,30,1,4.7,clear sky
316,Ancud,CL,-41.87,-73.82,69.01,59,19,8.05,smoke
317,Dikson,RU,73.51,80.55,19.63,98,96,9.06,overcast clouds
318,Salvador,SV,13.83,-88.92,87.8,58,20,11.41,few clouds
319,Beira,MZ,-19.84,34.84,75.2,83,20,8.05,few clouds
320,Oussouye,SN,12.48,-16.55,86.0,74,0,4.7,clear sky
321,Kupang,ID,-10.17,123.58,79.99,75,100,7.76,overcast clouds
322,Mae Sai,TH,20.43,99.88,71.6,100,0,1.54,clear sky
323,Bayan,CN,46.08,127.4,33.01,56,0,11.18,clear sky
324,Angoche,MZ,-16.23,39.91,78.3,78,84,1.95,broken clouds
325,Krasnoselkup,RU,65.7,82.47,25.86,97,100,16.98,light snow
326,Revelstoke,CA,50.98,-118.2,41.0,80,90,2.24,overcast clouds
327,Henties Bay,NA,-22.12,14.28,55.99,90,80,1.83,broken clouds
328,Rio Grande,BR,-32.03,-52.1,71.6,43,20,11.41,few clouds
329,Lasa,IT,46.62,10.7,50.0,66,75,4.7,broken clouds
330,Bocas Del Toro,PA,9.33,-82.25,64.99,100,100,13.69,overcast clouds
331,Rio Gallegos,AR,-51.62,-69.22,68.0,32,0,12.75,clear sky
332,Ambam,CM,2.38,11.28,69.22,96,97,2.64,overcast clouds
333,Leningradskiy,RU,69.38,178.42,14.13,81,91,5.75,overcast clouds
334,Yabrud,SY,33.97,36.66,69.8,60,75,16.11,thunderstorm
335,Brae,GB,60.4,-1.35,48.2,70,85,12.75,overcast clouds
336,Talnakh,RU,69.49,88.4,21.2,85,100,17.9,light snow
337,Ahipara,NZ,-35.17,173.17,66.07,81,100,6.2,overcast clouds
338,Flinders,AU,-34.58,150.86,61.0,84,74,1.99,broken clouds
339,Kununurra,AU,-15.77,128.73,78.8,74,86,4.7,overcast clouds
340,Dalbandin,PK,28.89,64.41,52.57,30,0,6.08,clear sky
341,Akyab,MM,20.15,92.9,77.22,87,91,8.32,overcast clouds
342,Santa Cruz Cabralia,BR,-16.28,-39.02,69.8,88,90,5.82,shower rain
343,Garowe,SO,8.41,48.48,78.13,55,0,13.53,clear sky
344,Carnarvon,AU,-24.87,113.63,68.0,68,75,17.22,broken clouds
345,Kalengwa,ZM,-13.47,25.0,68.86,35,4,3.98,clear sky
346,Aneho,TG,6.23,1.6,80.82,84,97,12.48,overcast clouds
347,Manado,ID,1.49,124.85,73.4,94,20,3.67,few clouds
348,Masvingo,ZW,-20.06,30.83,65.98,64,0,10.09,clear sky
349,Hinton,CA,53.4,-117.59,51.8,40,42,6.93,scattered clouds
350,Krasne,UA,49.91,24.61,33.8,85,0,2.24,mist
351,Bouna,CI,9.27,-3.0,81.91,37,33,3.67,scattered clouds
352,La Primavera,CO,5.49,-70.41,76.75,91,85,9.44,moderate rain
353,Mamallapuram,IN,12.63,80.17,80.6,94,20,4.79,mist
354,Iracoubo,GF,5.48,-53.2,83.79,72,100,12.8,overcast clouds
355,Haines Junction,CA,60.75,-137.51,10.4,72,100,4.7,overcast clouds
356,Vagur,FO,61.47,-6.81,46.69,85,94,7.67,light rain
357,Dehloran,IR,32.69,47.27,68.65,23,0,5.41,clear sky
358,Mbaiki,CF,3.87,17.99,71.73,92,49,1.7,scattered clouds
359,Gazojak,TM,41.19,61.4,53.11,35,43,8.25,scattered clouds
360,Kendari,ID,-3.94,122.5,74.53,92,100,2.64,overcast clouds
361,Saint-Francois,FR,46.42,3.91,64.4,68,90,6.93,overcast clouds
362,The Pas,CA,53.83,-101.25,33.8,74,75,8.05,broken clouds
363,Waipawa,NZ,-41.41,175.52,57.99,82,100,9.17,overcast clouds
